Cell_area_measured,Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_thickness,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_band_gap,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_volume,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_thickness_list,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,Backcontact_deposition_synthesis_atmosphere,Encapsulation,Encapsulation_stack_sequence,Encapsulation_edge_sealing_materials,Encapsulation_atmosphere_for_encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_test_atmosphere,JV_light_intensity,JV_light_spectra,JV_light_masked_cell,JV_default_PCE,JV_default_Voc,JV_default_Jsc,JV_default_FF,Type
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.37,1.12,24.33,78.61,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.86,1.12,24.11,77.42,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.82,1.11,24.29,77.53,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.68,1.12,23.97,77.35,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.28,1.11,24.74,77.56,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.26,1.12,24.52,77.25,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.84,1.12,24.20 ,77.09,
0.08,pin,ITO,C60 | BCP,30 | 6.5,evaporating | evaporating,3,FA,1,Pb,1,I,3,FALSE,FALSE,1.53,1,doctor-blading,Liquid,Air,2-ME; NMP,15; 1,TRUE,Chlorobenzene,Unknown,150,10,FALSE,PTAA,,doctor-blading,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.71,1.15,22.76,82.91,5
0.08,pin,ITO,C60 | BCP,30 | 6.5,evaporating | evaporating,3,FA,1,Pb,1,I,3,FALSE,FALSE,1.53,1,doctor-blading,Liquid,Air,2-ME; NMP,15; 1,TRUE,Chlorobenzene,Unknown,150,10,FALSE,PTAA,,doctor-blading,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.31,1.11,22.06,82.88,
0.08,pin,ITO,ICBA | BCP,30 | 7,Spin-coating | Spin-coating,quasi-2D,FA,1,Sn,1,I,3,FALSE,TRUE,1.38,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,PEDOT:PSS,,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,12.3,1.018,16.01,75.32,6
